Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Entropy_Coreset,Entropy,Coreset,51.0,55.00000000000001,60.0,62.0,67.0,73.0,74.0,74.0,75.0,80.0,82.0
Entropy_Coreset,Entropy,Coreset,51.0,65.0,69.0,76.0,74.0,75.0,77.0,75.0,73.0,76.0,86.0
Entropy_Coreset,Entropy,Coreset,51.0,56.99999999999999,64.0,65.0,78.0,81.0,83.0,85.0,84.0,85.0,86.0
Margin_Coreset,Margin,Coreset,67.0,76.0,80.0,76.0,75.0,78.0,79.0,82.0,75.0,81.0,89.0
Margin_Coreset,Margin,Coreset,67.0,75.0,74.0,80.0,79.0,80.0,89.0,89.0,90.0,91.0,91.0
Margin_Coreset,Margin,Coreset,67.0,72.0,81.0,78.0,77.0,78.0,77.0,82.0,80.0,87.0,88.0
Margin_Coreset,Margin,Coreset,67.0,74.0,77.0,74.0,86.0,85.0,88.0,87.0,87.0,90.0,89.0
Margin_Coreset,Margin,Coreset,67.0,73.0,73.0,76.0,78.0,75.0,76.0,76.0,79.0,78.0,78.0
BALD_Coreset,BALD,Coreset,43.0,47.0,59.0,77.0,77.0,76.0,78.0,81.0,80.0,80.0,80.0
BALD_Coreset,BALD,Coreset,43.0,51.0,59.0,73.0,73.0,76.0,77.0,83.0,83.0,84.0,85.0
BALD_Coreset,BALD,Coreset,43.0,61.0,61.0,68.0,72.0,74.0,77.0,85.0,85.0,86.0,86.0
BALD_Coreset,BALD,Coreset,43.0,49.0,65.0,62.0,74.0,75.0,73.0,80.0,83.0,84.0,82.0
BALD_Coreset,BALD,Coreset,43.0,49.0,64.0,76.0,77.0,71.0,76.0,77.0,77.0,82.0,83.0
VAAL_Coreset,VAAL,Coreset,49.0,67.0,61.0,74.0,79.0,81.0,80.0,85.0,86.0,87.0,87.0
VAAL_Coreset,VAAL,Coreset,49.0,66.0,75.0,74.0,77.0,77.0,79.0,80.0,83.0,82.0,82.0
VAAL_Coreset,VAAL,Coreset,49.0,59.0,70.0,71.0,73.0,75.0,80.0,82.0,79.0,77.0,80.0
VAAL_Coreset,VAAL,Coreset,49.0,53.0,69.0,71.0,75.0,81.0,85.0,86.0,88.0,88.0,88.0
VAAL_Coreset,VAAL,Coreset,49.0,60.0,72.0,67.0,77.0,81.0,83.0,87.0,87.0,87.0,89.0
Coreset_Coreset,Coreset,Coreset,66.0,63.0,77.0,76.0,77.0,78.0,79.0,83.0,83.0,82.0,84.0
Coreset_Coreset,Coreset,Coreset,66.0,67.0,71.0,68.0,76.0,79.0,80.0,82.0,82.0,85.0,84.0
Coreset_Coreset,Coreset,Coreset,66.0,66.0,80.0,79.0,77.0,82.0,82.0,84.0,82.0,84.0,83.0
Coreset_Coreset,Coreset,Coreset,66.0,67.0,70.0,71.0,73.0,79.0,77.0,78.0,78.0,82.0,83.0
Coreset_Coreset,Coreset,Coreset,66.0,66.0,64.0,65.0,68.0,75.0,79.0,82.0,83.0,84.0,86.0
