Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80.0,85.0,84.0,84.0,81.0,79.0,82.0,84.0,82.0,80.0,82.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,66.0,66.0,70.0,73.0,76.0,80.0,81.0,84.0,81.0,86.0,86.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,66.0,63.0,75.0,75.0,76.0,77.0,83.0,86.0,85.0,83.0,85.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,66.0,73.0,75.0,79.0,81.0,84.0,79.0,79.0,81.0,80.0,78.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,66.0,61.0,57.99999999999999,67.0,68.0,69.0,76.0,75.0,77.0,77.0,85.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,66.0,59.0,63.0,70.0,73.0,73.0,76.0,82.0,84.0,83.0,81.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,41.0,40.0,41.0,41.0,41.0,57.99999999999999,67.0,66.0,71.0,74.0,73.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,41.0,40.0,41.0,41.0,41.0,60.0,62.0,65.0,67.0,72.0,74.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,41.0,40.0,41.0,41.0,41.0,56.99999999999999,56.00000000000001,69.0,68.0,73.0,75.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,41.0,40.0,41.0,41.0,41.0,41.0,52.0,65.0,69.0,72.0,72.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,41.0,40.0,41.0,41.0,41.0,41.0,53.0,65.0,75.0,72.0,82.0
Consistency_Entropy,Consistency,Entropy,66.0,73.0,77.0,77.0,73.0,76.0,76.0,73.0,72.0,71.0,77.0
Consistency_Entropy,Consistency,Entropy,66.0,68.0,73.0,66.0,76.0,80.0,76.0,69.0,73.0,69.0,70.0
Consistency_Entropy,Consistency,Entropy,66.0,67.0,70.0,74.0,82.0,78.0,83.0,87.0,87.0,87.0,90.0
