Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Easy-to-Learn_Random,Easy-to-Learn,Random,80,84.0,83.0,82.0,83.0,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,84.0,86.0,81.0,86.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,84.0,85.0,80.0,86.0,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,89.0,85.0,83.0,89.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,120,89.0,85.0,85.0,87.0,86.0
Consistency_Random,Consistency,Random,20,71.0,71.0,71.0,71.0,71.0
Consistency_Random,Consistency,Random,30,84.0,80.0,78.0,81.0,84.0
Consistency_Random,Consistency,Random,40,80.0,80.0,80.0,87.0,85.0
Consistency_Random,Consistency,Random,50,84.0,81.0,83.0,90.0,85.0
Consistency_Random,Consistency,Random,60,83.0,82.0,87.0,91.0,82.0
Consistency_Random,Consistency,Random,70,87.0,84.0,89.0,92.0,84.0
Consistency_Random,Consistency,Random,80,87.0,84.0,90.0,88.0,85.0
Consistency_Random,Consistency,Random,90,85.0,82.0,89.0,89.0,84.0
Consistency_Random,Consistency,Random,100,90.0,81.0,87.0,89.0,85.0
Consistency_Random,Consistency,Random,110,86.0,84.0,88.0,90.0,87.0
Consistency_Random,Consistency,Random,120,89.0,85.0,89.0,92.0,87.0
Entropy_Random,Entropy,Random,20,50.0,50.0,50.0,50.0,50.0
Entropy_Random,Entropy,Random,30,56.99999999999999,61.0,71.0,63.0,72.0
Entropy_Random,Entropy,Random,40,67.0,74.0,72.0,70.0,78.0
Entropy_Random,Entropy,Random,50,78.0,68.0,75.0,81.0,79.0
Entropy_Random,Entropy,Random,60,80.0,79.0,78.0,80.0,84.0
Entropy_Random,Entropy,Random,70,84.0,82.0,80.0,85.0,87.0
Entropy_Random,Entropy,Random,80,82.0,83.0,83.0,87.0,89.0
Entropy_Random,Entropy,Random,90,81.0,84.0,82.0,85.0,88.0
Entropy_Random,Entropy,Random,100,82.0,84.0,88.0,86.0,88.0
Entropy_Random,Entropy,Random,110,85.0,83.0,86.0,88.0,84.0
Entropy_Random,Entropy,Random,120,84.0,85.0,83.0,87.0,89.0
Margin_Random,Margin,Random,20,66.0,66.0,66.0,66.0,66.0
Margin_Random,Margin,Random,30,79.0,72.0,73.0,66.0,78.0
Margin_Random,Margin,Random,40,83.0,82.0,81.0,71.0,80.0
Margin_Random,Margin,Random,50,84.0,84.0,86.0,80.0,83.0
Margin_Random,Margin,Random,60,86.0,83.0,86.0,81.0,87.0
Margin_Random,Margin,Random,70,91.0,82.0,83.0,81.0,88.0
Margin_Random,Margin,Random,80,89.0,88.0,85.0,85.0,88.0
Margin_Random,Margin,Random,90,91.0,89.0,86.0,85.0,87.0
Margin_Random,Margin,Random,100,90.0,88.0,86.0,89.0,89.0
Margin_Random,Margin,Random,110,89.0,89.0,84.0,89.0,90.0
Margin_Random,Margin,Random,120,91.0,88.0,88.0,88.0,89.0
BALD_Random,BALD,Random,20,42.0,42.0,42.0,42.0,42.0
BALD_Random,BALD,Random,30,67.0,71.0,68.0,78.0,84.0
BALD_Random,BALD,Random,40,80.0,80.0,83.0,77.0,83.0
BALD_Random,BALD,Random,50,85.0,81.0,80.0,83.0,81.0
BALD_Random,BALD,Random,60,88.0,80.0,82.0,82.0,86.0
BALD_Random,BALD,Random,70,85.0,78.0,84.0,82.0,89.0
BALD_Random,BALD,Random,80,87.0,81.0,85.0,87.0,91.0
BALD_Random,BALD,Random,90,84.0,85.0,83.0,87.0,90.0
BALD_Random,BALD,Random,100,84.0,83.0,89.0,85.0,91.0
BALD_Random,BALD,Random,110,83.0,86.0,87.0,88.0,91.0
BALD_Random,BALD,Random,120,85.0,85.0,88.0,91.0,88.0
VAAL_Random,VAAL,Random,20,49.0,49.0,49.0,49.0,49.0
VAAL_Random,VAAL,Random,30,57.99999999999999,66.0,60.0,54.0,65.0
VAAL_Random,VAAL,Random,40,76.0,67.0,65.0,80.0,75.0
VAAL_Random,VAAL,Random,50,72.0,73.0,74.0,82.0,75.0
VAAL_Random,VAAL,Random,60,73.0,74.0,75.0,84.0,78.0
VAAL_Random,VAAL,Random,70,77.0,74.0,80.0,83.0,77.0
VAAL_Random,VAAL,Random,80,78.0,78.0,85.0,83.0,84.0
VAAL_Random,VAAL,Random,90,74.0,81.0,87.0,84.0,83.0
VAAL_Random,VAAL,Random,100,73.0,85.0,81.0,85.0,87.0
VAAL_Random,VAAL,Random,110,77.0,83.0,83.0,84.0,86.0
VAAL_Random,VAAL,Random,120,76.0,83.0,83.0,84.0,88.0
Coreset_Random,Coreset,Random,20,77.0,77.0,77.0,77.0,77.0
Coreset_Random,Coreset,Random,30,78.0,85.0,81.0,76.0,80.0
Coreset_Random,Coreset,Random,40,79.0,83.0,84.0,74.0,82.0
Coreset_Random,Coreset,Random,50,79.0,85.0,79.0,74.0,84.0
Coreset_Random,Coreset,Random,60,83.0,83.0,79.0,74.0,83.0
Coreset_Random,Coreset,Random,70,84.0,84.0,77.0,77.0,82.0
Coreset_Random,Coreset,Random,80,84.0,84.0,80.0,81.0,85.0
Coreset_Random,Coreset,Random,90,84.0,88.0,81.0,78.0,86.0
Coreset_Random,Coreset,Random,100,88.0,85.0,79.0,79.0,87.0
Coreset_Random,Coreset,Random,110,89.0,87.0,83.0,78.0,87.0
Coreset_Random,Coreset,Random,120,90.0,88.0,82.0,80.0,87.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,89.0,89.0,89.0,89.0,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,89.0,86.0,82.0,87.0,87.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,89.0,90.0,86.0,83.0,86.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,90.0,86.0,87.0,87.0,88.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,86.0,87.0,88.0,91.0,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,91.0,88.0,85.0,90.0,88.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,91.0,89.0,84.0,90.0,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,91.0,88.0,88.0,92.0,91.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,90.0,87.0,89.0,94.0,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,92.0,84.0,87.0,92.0,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,120,93.0,88.0,87.0,93.0,90.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,20,69.0,69.0,69.0,69.0,69.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,30,69.0,59.0,63.0,60.0,61.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,40,70.0,73.0,66.0,59.0,70.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,50,70.0,70.0,72.0,74.0,76.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,60,79.0,75.0,77.0,75.0,82.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,70,84.0,75.0,79.0,74.0,81.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,80,79.0,75.0,79.0,80.0,81.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,90,86.0,82.0,79.0,82.0,85.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,100,88.0,75.0,81.0,86.0,84.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,110,86.0,86.0,78.0,85.0,88.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,120,81.0,80.0,78.0,85.0,90.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,20,46.0,46.0,46.0,46.0,46.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,30,55.00000000000001,51.0,56.00000000000001,55.00000000000001,52.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,40,53.0,66.0,55.00000000000001,65.0,62.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,50,64.0,70.0,55.00000000000001,62.0,63.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,60,69.0,73.0,62.0,66.0,71.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,70,69.0,78.0,76.0,69.0,66.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,80,68.0,79.0,79.0,70.0,71.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,90,72.0,86.0,76.0,73.0,71.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,100,77.0,87.0,75.0,72.0,74.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,110,78.0,87.0,81.0,73.0,74.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,120,79.0,89.0,86.0,75.0,74.0
Consistency_Entropy,Consistency,Entropy,20,71.0,71.0,71.0,71.0,71.0
Consistency_Entropy,Consistency,Entropy,30,77.0,67.0,81.0,72.0,79.0
Consistency_Entropy,Consistency,Entropy,40,72.0,79.0,80.0,76.0,72.0
Consistency_Entropy,Consistency,Entropy,50,75.0,85.0,79.0,77.0,86.0
Consistency_Entropy,Consistency,Entropy,60,76.0,86.0,78.0,80.0,80.0
Consistency_Entropy,Consistency,Entropy,70,84.0,86.0,77.0,76.0,80.0
Consistency_Entropy,Consistency,Entropy,80,83.0,85.0,76.0,77.0,76.0
Consistency_Entropy,Consistency,Entropy,90,87.0,87.0,74.0,85.0,80.0
Consistency_Entropy,Consistency,Entropy,100,87.0,87.0,76.0,84.0,82.0
Consistency_Entropy,Consistency,Entropy,110,82.0,89.0,75.0,77.0,82.0
Consistency_Entropy,Consistency,Entropy,120,85.0,88.0,80.0,85.0,82.0
Entropy_Entropy,Entropy,Entropy,20,50.0,50.0,50.0,50.0,50.0
Entropy_Entropy,Entropy,Entropy,30,50.0,49.0,51.0,53.0,50.0
Entropy_Entropy,Entropy,Entropy,40,59.0,49.0,50.0,46.0,52.0
Entropy_Entropy,Entropy,Entropy,50,62.0,47.0,45.0,55.00000000000001,54.0
Entropy_Entropy,Entropy,Entropy,60,73.0,56.00000000000001,52.0,46.0,55.00000000000001
Entropy_Entropy,Entropy,Entropy,70,68.0,60.0,56.00000000000001,54.0,64.0
Entropy_Entropy,Entropy,Entropy,80,69.0,64.0,54.0,56.99999999999999,63.0
Entropy_Entropy,Entropy,Entropy,90,76.0,67.0,60.0,57.99999999999999,56.00000000000001
Entropy_Entropy,Entropy,Entropy,100,74.0,65.0,59.0,65.0,65.0
Entropy_Entropy,Entropy,Entropy,110,77.0,73.0,67.0,65.0,60.0
Entropy_Entropy,Entropy,Entropy,120,82.0,71.0,71.0,67.0,70.0
Margin_Entropy,Margin,Entropy,20,66.0,66.0,66.0,66.0,66.0
Margin_Entropy,Margin,Entropy,30,67.0,68.0,69.0,67.0,72.0
Margin_Entropy,Margin,Entropy,40,67.0,68.0,78.0,68.0,74.0
Margin_Entropy,Margin,Entropy,50,71.0,69.0,72.0,70.0,80.0
Margin_Entropy,Margin,Entropy,60,75.0,73.0,68.0,75.0,77.0
Margin_Entropy,Margin,Entropy,70,70.0,77.0,74.0,77.0,81.0
Margin_Entropy,Margin,Entropy,80,70.0,75.0,81.0,83.0,80.0
Margin_Entropy,Margin,Entropy,90,72.0,75.0,82.0,85.0,77.0
Margin_Entropy,Margin,Entropy,100,74.0,74.0,78.0,88.0,80.0
Margin_Entropy,Margin,Entropy,110,79.0,78.0,85.0,88.0,80.0
Margin_Entropy,Margin,Entropy,120,77.0,74.0,85.0,90.0,85.0
BALD_Entropy,BALD,Entropy,20,42.0,42.0,42.0,42.0,42.0
BALD_Entropy,BALD,Entropy,30,50.0,57.99999999999999,60.0,52.0,52.0
BALD_Entropy,BALD,Entropy,40,56.99999999999999,61.0,60.0,59.0,57.99999999999999
BALD_Entropy,BALD,Entropy,50,56.99999999999999,77.0,65.0,60.0,60.0
BALD_Entropy,BALD,Entropy,60,64.0,73.0,70.0,71.0,65.0
BALD_Entropy,BALD,Entropy,70,59.0,69.0,65.0,71.0,66.0
BALD_Entropy,BALD,Entropy,80,66.0,73.0,69.0,82.0,70.0
BALD_Entropy,BALD,Entropy,90,69.0,78.0,72.0,81.0,64.0
BALD_Entropy,BALD,Entropy,100,69.0,74.0,73.0,81.0,74.0
BALD_Entropy,BALD,Entropy,110,67.0,74.0,72.0,78.0,72.0
BALD_Entropy,BALD,Entropy,120,68.0,73.0,73.0,71.0,78.0
VAAL_Entropy,VAAL,Entropy,20,49.0,49.0,49.0,49.0,49.0
VAAL_Entropy,VAAL,Entropy,30,63.0,59.0,59.0,61.0,54.0
VAAL_Entropy,VAAL,Entropy,40,56.99999999999999,72.0,68.0,61.0,63.0
VAAL_Entropy,VAAL,Entropy,50,59.0,75.0,69.0,72.0,64.0
VAAL_Entropy,VAAL,Entropy,60,57.99999999999999,77.0,68.0,77.0,66.0
VAAL_Entropy,VAAL,Entropy,70,62.0,75.0,72.0,79.0,68.0
VAAL_Entropy,VAAL,Entropy,80,61.0,76.0,77.0,80.0,69.0
VAAL_Entropy,VAAL,Entropy,90,67.0,81.0,79.0,82.0,72.0
VAAL_Entropy,VAAL,Entropy,100,72.0,79.0,79.0,82.0,73.0
VAAL_Entropy,VAAL,Entropy,110,72.0,80.0,81.0,82.0,75.0
VAAL_Entropy,VAAL,Entropy,120,75.0,82.0,79.0,83.0,77.0
Coreset_Entropy,Coreset,Entropy,20,77.0,77.0,77.0,77.0,77.0
Coreset_Entropy,Coreset,Entropy,30,77.0,76.0,79.0,76.0,78.0
Coreset_Entropy,Coreset,Entropy,40,78.0,83.0,79.0,78.0,80.0
Coreset_Entropy,Coreset,Entropy,50,79.0,80.0,82.0,74.0,79.0
Coreset_Entropy,Coreset,Entropy,60,82.0,82.0,83.0,73.0,80.0
Coreset_Entropy,Coreset,Entropy,70,83.0,85.0,81.0,77.0,78.0
Coreset_Entropy,Coreset,Entropy,80,85.0,78.0,82.0,78.0,79.0
Coreset_Entropy,Coreset,Entropy,90,86.0,82.0,84.0,82.0,81.0
Coreset_Entropy,Coreset,Entropy,100,86.0,82.0,86.0,87.0,81.0
Coreset_Entropy,Coreset,Entropy,110,89.0,82.0,85.0,87.0,84.0
Coreset_Entropy,Coreset,Entropy,120,85.0,82.0,85.0,85.0,87.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,20,89.0,89.0,89.0,89.0,89.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,30,87.0,75.0,86.0,83.0,85.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,40,87.0,86.0,83.0,82.0,89.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,50,90.0,85.0,85.0,86.0,89.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,60,89.0,86.0,86.0,86.0,91.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,70,90.0,90.0,84.0,85.0,87.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,80,90.0,88.0,87.0,87.0,91.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,90,91.0,87.0,89.0,89.0,89.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,100,90.0,89.0,90.0,90.0,90.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,110,91.0,90.0,89.0,90.0,90.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,120,93.0,89.0,89.0,89.0,91.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,20,69.0,69.0,69.0,69.0,69.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,30,72.0,73.0,74.0,68.0,65.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,40,75.0,78.0,78.0,79.0,72.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,50,77.0,85.0,79.0,82.0,73.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,60,78.0,86.0,89.0,86.0,75.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,70,82.0,92.0,89.0,86.0,82.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,80,84.0,90.0,91.0,88.0,82.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,90,89.0,91.0,92.0,89.0,87.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,100,90.0,90.0,91.0,88.0,88.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,110,88.0,91.0,93.0,89.0,86.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,120,90.0,90.0,91.0,89.0,88.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,20,46.0,46.0,46.0,46.0,46.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,30,50.0,57.99999999999999,54.0,52.0,54.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,40,64.0,57.99999999999999,72.0,68.0,55.00000000000001
Easy-to-Learn_Margin,Easy-to-Learn,Margin,50,72.0,63.0,76.0,68.0,60.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,60,75.0,66.0,79.0,69.0,72.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,70,83.0,74.0,77.0,70.0,74.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,80,83.0,78.0,81.0,75.0,77.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,90,78.0,82.0,82.0,78.0,77.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,100,78.0,85.0,81.0,77.0,76.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,110,77.0,87.0,83.0,79.0,75.0
