Method,Init_Method,AL_Method,Episode,TestAccuracy
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,72.29
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,75.62
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,78.66
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,79.6
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,79.07
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,77.99
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,79.57
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,45.13
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,60.07
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,63.72
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,68.34
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,68.9
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,68.78
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,67.38
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,72.55
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,73.43
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,73.75
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,76.26
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,45.13
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,62.5
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,68.87
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,67.29
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,72.7
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,75.3
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,75.8
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,77.26
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,76.85
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,77.87
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,77.2
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.24
Easy-to-Learn_Random,Easy-to-Learn,Random,20,37.59
Easy-to-Learn_Random,Easy-to-Learn,Random,30,51.36
Easy-to-Learn_Random,Easy-to-Learn,Random,40,60.45
Easy-to-Learn_Random,Easy-to-Learn,Random,50,64.83
Easy-to-Learn_Random,Easy-to-Learn,Random,60,70.1
Easy-to-Learn_Random,Easy-to-Learn,Random,70,70.56
Easy-to-Learn_Random,Easy-to-Learn,Random,80,71.76
Easy-to-Learn_Random,Easy-to-Learn,Random,90,75.62
Easy-to-Learn_Random,Easy-to-Learn,Random,100,75.68
Easy-to-Learn_Random,Easy-to-Learn,Random,110,76.09
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.24
Easy-to-Learn_Random,Easy-to-Learn,Random,20,42.74
Easy-to-Learn_Random,Easy-to-Learn,Random,30,51.33
Easy-to-Learn_Random,Easy-to-Learn,Random,40,61.91
Easy-to-Learn_Random,Easy-to-Learn,Random,50,65.13
Easy-to-Learn_Random,Easy-to-Learn,Random,60,67.06
Easy-to-Learn_Random,Easy-to-Learn,Random,70,68.46
Easy-to-Learn_Random,Easy-to-Learn,Random,80,71.91
Easy-to-Learn_Random,Easy-to-Learn,Random,90,73.72
Easy-to-Learn_Random,Easy-to-Learn,Random,100,74.83
Easy-to-Learn_Random,Easy-to-Learn,Random,110,75.21
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.24
Easy-to-Learn_Random,Easy-to-Learn,Random,20,30.69
Easy-to-Learn_Random,Easy-to-Learn,Random,30,41.8
Easy-to-Learn_Random,Easy-to-Learn,Random,40,59.16
Easy-to-Learn_Random,Easy-to-Learn,Random,50,67.09
Easy-to-Learn_Random,Easy-to-Learn,Random,60,68.63
Easy-to-Learn_Random,Easy-to-Learn,Random,70,69.19
Easy-to-Learn_Random,Easy-to-Learn,Random,80,71.82
Easy-to-Learn_Random,Easy-to-Learn,Random,90,72.81
Easy-to-Learn_Random,Easy-to-Learn,Random,100,69.95
Easy-to-Learn_Random,Easy-to-Learn,Random,110,72.76
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.24
Easy-to-Learn_Random,Easy-to-Learn,Random,20,29.58
Easy-to-Learn_Random,Easy-to-Learn,Random,30,48.2
Easy-to-Learn_Random,Easy-to-Learn,Random,40,61.33
Easy-to-Learn_Random,Easy-to-Learn,Random,50,65.95
Easy-to-Learn_Random,Easy-to-Learn,Random,60,68.25
Easy-to-Learn_Random,Easy-to-Learn,Random,70,70.86
Easy-to-Learn_Random,Easy-to-Learn,Random,80,72.2
Easy-to-Learn_Random,Easy-to-Learn,Random,90,75.42
Easy-to-Learn_Random,Easy-to-Learn,Random,100,75.74
Easy-to-Learn_Random,Easy-to-Learn,Random,110,76.09
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.24
Easy-to-Learn_Random,Easy-to-Learn,Random,20,30.05
Easy-to-Learn_Random,Easy-to-Learn,Random,30,33.32
Easy-to-Learn_Random,Easy-to-Learn,Random,40,37.68
Easy-to-Learn_Random,Easy-to-Learn,Random,50,48.41
Easy-to-Learn_Random,Easy-to-Learn,Random,60,58.46
Easy-to-Learn_Random,Easy-to-Learn,Random,70,67.11
Easy-to-Learn_Random,Easy-to-Learn,Random,80,68.46
Easy-to-Learn_Random,Easy-to-Learn,Random,90,68.11
Easy-to-Learn_Random,Easy-to-Learn,Random,100,70.97
Easy-to-Learn_Random,Easy-to-Learn,Random,110,73.95
Consistency_Random,Consistency,Random,10,39.61
Consistency_Random,Consistency,Random,20,43.99
Consistency_Random,Consistency,Random,30,48.14
Consistency_Random,Consistency,Random,40,65.1
Consistency_Random,Consistency,Random,50,71.91
Consistency_Random,Consistency,Random,60,73.63
Consistency_Random,Consistency,Random,70,73.02
Consistency_Random,Consistency,Random,80,75.48
Consistency_Random,Consistency,Random,90,77.2
Consistency_Random,Consistency,Random,100,77.96
