Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
BALD_Coreset,BALD,Coreset,25.33,35.35,40.75,45.67,51.24,53.27,52.55,57.1,56.96,57.31,60.47
BALD_Coreset,BALD,Coreset,25.33,32.4,42.15,48.83,52.89,55.77,56.59,58.74,60.06,60.68,61.07
BALD_Coreset,BALD,Coreset,25.33,39.81,44.81,51.21,53.84,58.23,58.91,62.09,61.83,61.97,63.09
BALD_Coreset,BALD,Coreset,25.33,37.6,47.95,54.49,56.83,59.28,60.12,60.97,60.91,63.74,63.33
BALD_Coreset,BALD,Coreset,25.33,35.47,40.58,48.13,53.48,53.62,55.31,55.84,57.75,59.95,62.93
VAAL_Coreset,VAAL,Coreset,4.46,27.75,31.96,39.4,41.83,48.16,50.42,55.12,55.32,59.02,58.43
VAAL_Coreset,VAAL,Coreset,4.46,36.96,42.65,43.81,45.85,49.86,52.95,52.58,55.63,55.75,57.24
VAAL_Coreset,VAAL,Coreset,4.46,27.44,30.96,34.73,44.02,50.31,54.49,55.97,57.27,58.32,61.72
VAAL_Coreset,VAAL,Coreset,4.46,29.29,35.74,43.78,45.57,48.05,54.78,56.49,62.45,62.49,63.17
VAAL_Coreset,VAAL,Coreset,4.46,32.7,34.89,49.23,50.93,53.1,55.26,59.34,59.9,62.8,59.07
Coreset_Coreset,Coreset,Coreset,24.06,38.8,42.83,45.13,48.44,52.77,58.54,59.91,60.31,62.19,62.91
Coreset_Coreset,Coreset,Coreset,24.06,39.34,41.74,46.25,51.42,51.8,55.77,59.38,59.71,64.62,63.69
Coreset_Coreset,Coreset,Coreset,24.06,35.19,41.41,42.25,42.33,46.61,47.58,50.76,52.41,55.75,58.68
Coreset_Coreset,Coreset,Coreset,24.06,35.13,41.5,45.83,48.55,50.43,50.13,51.89,54.54,55.5,55.88
Coreset_Coreset,Coreset,Coreset,24.06,32.22,35.47,47.55,52.05,50.69,53.81,54.25,56.79,60.08,62.23
