Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Coreset_Random,Coreset,Random,24.06,31.88,38.53,44.32,46.95,53.62,55.01,61.87,61.55,62.26,65.11
Coreset_Random,Coreset,Random,24.06,34.47,39.45,43.41,47.6,50.62,59.69,56.44,59.38,62.32,62.85
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40.8,50.55,45.63,52.59,53.17,56.08,57.24,58.38,60.2,62.54,64.74
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40.8,48.34,53.98,51.31,59.68,56.45,56.92,61.02,61.13,62.53,58.91
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40.8,46.81,53.07,54.63,52.33,56.77,58.97,62.06,62.16,62.27,65.46
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40.8,45.6,45.99,50.27,51.48,54.98,59.06,59.3,64.06,64.64,65.69
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40.8,47.41,52.45,47.6,49.1,55.93,58.45,57.03,59.12,60.51,63.88
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,27.63,34.3,39.28,47.09,50.25,54.28,54.03,56.38,55.73,57.25,60.01
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,27.63,37.11,38.71,41.86,47.04,48.94,50.3,53.62,58.57,60.86,62.54
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,27.63,39.69,41.04,44.14,45.0,52.56,51.48,55.48,58.68,57.22,61.39
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,27.63,37.23,40.33,39.84,44.98,46.8,54.39,56.48,56.29,59.31,60.28
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,27.63,31.58,37.09,38.11,46.6,48.84,48.77,50.38,57.89,60.55,59.58
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.48,26.5,25.5,27.6,34.78,42.47,42.14,48.15,51.62,52.83,58.68
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.48,24.37,37.38,41.59,41.42,43.91,46.32,47.82,49.99,57.94,60.12
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.48,28.74,36.3,33.65,42.18,41.78,44.89,55.52,55.98,55.66,58.39
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.48,32.68,36.58,43.05,42.93,47.39,51.06,51.74,55.26,56.85,58.57
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.48,27.33,40.33,41.44,50.91,49.0,53.47,57.21,57.38,58.84,63.25
Consistency_Entropy,Consistency,Entropy,35.45,49.99,52.5,54.09,56.1,55.98,57.87,59.6,62.37,62.21,62.22
Consistency_Entropy,Consistency,Entropy,35.45,48.41,51.74,54.03,55.82,53.04,56.63,56.52,60.38,63.47,65.8
Consistency_Entropy,Consistency,Entropy,35.45,52.36,53.9,50.04,60.11,57.8,58.96,57.68,62.34,64.29,64.37
Consistency_Entropy,Consistency,Entropy,35.45,51.78,48.61,53.71,57.04,53.9,59.58,59.9,61.11,63.41,63.81
Consistency_Entropy,Consistency,Entropy,35.45,49.16,51.6,53.66,59.2,60.07,61.2,62.77,61.77,63.45,66.06
Entropy_Entropy,Entropy,Entropy,27.12,37.6,42.78,47.14,47.53,51.12,51.16,55.79,57.67,60.55,61.5
Entropy_Entropy,Entropy,Entropy,27.12,33.65,44.86,48.19,47.75,52.22,53.1,56.96,60.42,59.84,56.21
Entropy_Entropy,Entropy,Entropy,27.12,30.89,47.09,49.43,51.42,53.73,55.71,56.88,57.56,59.89,58.27
Entropy_Entropy,Entropy,Entropy,27.12,28.7,33.34,46.28,50.15,52.64,52.55,54.21,54.15,57.71,56.75
Entropy_Entropy,Entropy,Entropy,27.12,35.99,46.8,46.03,50.84,52.85,54.66,56.84,58.94,61.94,61.99
Margin_Entropy,Margin,Entropy,26.26,26.77,32.73,48.75,50.82,51.68,52.55,53.8,54.55,58.11,59.15
Margin_Entropy,Margin,Entropy,26.26,29.81,42.18,43.07,53.97,49.96,55.8,56.1,57.66,59.48,61.11
Margin_Entropy,Margin,Entropy,26.26,36.86,40.99,41.64,40.61,52.55,51.64,53.37,58.52,60.25,58.88
Margin_Entropy,Margin,Entropy,26.26,30.55,31.02,40.38,38.68,46.79,51.72,55.51,59.23,61.19,60.34
Margin_Entropy,Margin,Entropy,26.26,32.1,29.06,41.88,41.47,45.02,48.25,52.51,54.52,55.43,55.41
BALD_Entropy,BALD,Entropy,25.33,20.62,36.06,38.49,46.12,48.68,50.73,53.18,54.41,56.16,60.5
