Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,88.0,88.0,93.0,94.0,91.0,93.0,93.0,94.0,94.0,95.0,94.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,81.0,87.0,90.0,89.0,92.0,91.0,91.0,94.0,95.0,96.0,95.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,81.0,85.0,92.0,93.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,81.0,84.0,89.0,87.0,92.0,,,,,,
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,81.0,83.0,87.0,89.0,91.0,,,,,,
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,81.0,84.0,88.0,89.0,93.0,,,,,,
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,56.00000000000001,60.0,68.0,80.0,88.0,91.0,92.0,93.0,93.0,93.0,93.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,56.00000000000001,71.0,74.0,84.0,83.0,85.0,87.0,89.0,91.0,91.0,92.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,56.00000000000001,64.0,72.0,72.0,80.0,79.0,83.0,86.0,89.0,91.0,92.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,56.00000000000001,65.0,72.0,77.0,78.0,81.0,87.0,89.0,91.0,90.0,
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,56.00000000000001,67.0,74.0,76.0,81.0,,,,,,
Consistency_Entropy,Consistency,Entropy,75.0,78.0,82.0,84.0,85.0,86.0,86.0,95.0,94.0,92.0,94.0
Consistency_Entropy,Consistency,Entropy,75.0,77.0,75.0,79.0,79.0,,,,,,
Consistency_Entropy,Consistency,Entropy,75.0,80.0,83.0,84.0,83.0,84.0,86.0,91.0,90.0,92.0,91.0
Consistency_Entropy,Consistency,Entropy,75.0,74.0,77.0,78.0,80.0,,,,,,
Consistency_Entropy,Consistency,Entropy,75.0,75.0,78.0,82.0,86.0,90.0,89.0,91.0,93.0,94.0,93.0
Entropy_Entropy,Entropy,Entropy,70.0,81.0,80.0,87.0,80.0,86.0,91.0,91.0,92.0,92.0,92.0
Entropy_Entropy,Entropy,Entropy,70.0,76.0,77.0,80.0,81.0,85.0,90.0,89.0,90.0,90.0,92.0
Entropy_Entropy,Entropy,Entropy,70.0,83.0,87.0,88.0,90.0,,,,,,
Entropy_Entropy,Entropy,Entropy,70.0,76.0,73.0,83.0,85.0,87.0,88.0,89.0,91.0,91.0,92.0
Entropy_Entropy,Entropy,Entropy,70.0,76.0,76.0,79.0,78.0,,,,,,
Margin_Entropy,Margin,Entropy,62.0,69.0,75.0,79.0,83.0,81.0,90.0,91.0,91.0,92.0,93.0
Margin_Entropy,Margin,Entropy,62.0,67.0,77.0,86.0,86.0,87.0,84.0,88.0,88.0,89.0,91.0
Margin_Entropy,Margin,Entropy,62.0,70.0,87.0,88.0,91.0,91.0,90.0,91.0,93.0,93.0,95.0
Margin_Entropy,Margin,Entropy,62.0,71.0,74.0,78.0,79.0,80.0,85.0,84.0,85.0,85.0,87.0
Margin_Entropy,Margin,Entropy,62.0,77.0,78.0,80.0,89.0,,,,,,
BALD_Entropy,BALD,Entropy,66.0,75.0,82.0,87.0,88.0,,,,,,
BALD_Entropy,BALD,Entropy,66.0,74.0,85.0,92.0,93.0,,,,,,
BALD_Entropy,BALD,Entropy,66.0,76.0,77.0,88.0,90.0,92.0,91.0,93.0,93.0,93.0,93.0
BALD_Entropy,BALD,Entropy,66.0,71.0,74.0,75.0,76.0,82.0,92.0,90.0,92.0,93.0,93.0
BALD_Entropy,BALD,Entropy,66.0,78.0,80.0,78.0,81.0,,,,,,
VAAL_Entropy,VAAL,Entropy,56.00000000000001,65.0,71.0,80.0,78.0,,,,,,
VAAL_Entropy,VAAL,Entropy,56.00000000000001,70.0,74.0,78.0,81.0,,,,,,
VAAL_Entropy,VAAL,Entropy,56.00000000000001,65.0,79.0,82.0,86.0,89.0,91.0,92.0,93.0,93.0,93.0
VAAL_Entropy,VAAL,Entropy,56.00000000000001,64.0,72.0,78.0,83.0,,,,,,
VAAL_Entropy,VAAL,Entropy,56.00000000000001,64.0,73.0,80.0,85.0,,,,,,
Coreset_Entropy,Coreset,Entropy,77.0,81.0,82.0,88.0,89.0,,,,,,
Coreset_Entropy,Coreset,Entropy,77.0,78.0,88.0,89.0,89.0,91.0,91.0,93.0,93.0,93.0,94.0
Coreset_Entropy,Coreset,Entropy,77.0,82.0,89.0,89.0,92.0,94.0,95.0,94.0,95.0,95.0,95.0
Coreset_Entropy,Coreset,Entropy,77.0,84.0,82.0,88.0,90.0,,,,,,
Coreset_Entropy,Coreset,Entropy,77.0,79.0,86.0,91.0,92.0,90.0,93.0,94.0,94.0,94.0,93.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,88.0,91.0,92.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,96.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,88.0,91.0,89.0,92.0,90.0,92.0,93.0,93.0,94.0,95.0,95.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,88.0,87.0,92.0,93.0,94.0,,,,,,
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,88.0,87.0,93.0,94.0,95.0,95.0,95.0,95.0,94.0,95.0,95.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,88.0,90.0,89.0,93.0,93.0,94.0,93.0,94.0,92.0,94.0,94.0
