Method,Init_Method,AL_Method,Episode,TestAccuracy
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,82.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,81.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,84.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,82.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,66.0
