Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,76.0,82.0,82.0,84.0,85.0,87.0,86.0,88.0,89.0,90.0,90.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,76.0,80.0,85.0,84.0,84.0,85.0,86.0,86.0,86.0,88.0,89.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,65.0,69.0,71.0,76.0,78.0,80.0,81.0,81.0,82.0,83.0,84.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,65.0,70.0,69.0,74.0,77.0,77.0,78.0,81.0,82.0,83.0,85.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,65.0,73.0,76.0,77.0,78.0,79.0,81.0,82.0,82.0,82.0,83.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,65.0,68.0,73.0,74.0,79.0,80.0,81.0,83.0,83.0,84.0,85.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,65.0,71.0,72.0,74.0,78.0,78.0,79.0,80.0,81.0,82.0,83.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,49.0,51.0,56.00000000000001,65.0,69.0,70.0,74.0,79.0,81.0,82.0,87.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,49.0,61.0,66.0,72.0,73.0,73.0,76.0,76.0,79.0,79.0,81.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,49.0,57.99999999999999,63.0,70.0,69.0,69.0,72.0,79.0,79.0,81.0,82.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,49.0,64.0,66.0,68.0,70.0,73.0,76.0,80.0,79.0,82.0,83.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,49.0,60.0,68.0,71.0,75.0,73.0,75.0,78.0,78.0,78.0,82.0
Consistency_Entropy,Consistency,Entropy,70.0,78.0,79.0,79.0,81.0,82.0,84.0,87.0,88.0,87.0,87.0
Consistency_Entropy,Consistency,Entropy,70.0,77.0,79.0,81.0,80.0,80.0,82.0,83.0,85.0,90.0,91.0
Consistency_Entropy,Consistency,Entropy,70.0,77.0,86.0,82.0,86.0,85.0,87.0,86.0,88.0,88.0,89.0
Consistency_Entropy,Consistency,Entropy,70.0,80.0,81.0,84.0,86.0,85.0,86.0,87.0,88.0,88.0,88.0
Consistency_Entropy,Consistency,Entropy,70.0,76.0,77.0,77.0,86.0,86.0,85.0,85.0,86.0,87.0,90.0
Entropy_Entropy,Entropy,Entropy,56.00000000000001,69.0,72.0,76.0,80.0,80.0,83.0,85.0,85.0,86.0,87.0
Entropy_Entropy,Entropy,Entropy,56.00000000000001,63.0,72.0,78.0,78.0,82.0,83.0,82.0,84.0,87.0,84.0
Entropy_Entropy,Entropy,Entropy,56.00000000000001,66.0,73.0,71.0,72.0,78.0,75.0,76.0,76.0,79.0,77.0
Entropy_Entropy,Entropy,Entropy,56.00000000000001,66.0,67.0,72.0,73.0,78.0,81.0,80.0,81.0,82.0,82.0
Entropy_Entropy,Entropy,Entropy,56.00000000000001,68.0,75.0,77.0,81.0,82.0,84.0,83.0,85.0,88.0,89.0
Margin_Entropy,Margin,Entropy,56.00000000000001,56.99999999999999,67.0,77.0,76.0,78.0,80.0,82.0,87.0,90.0,88.0
Margin_Entropy,Margin,Entropy,56.00000000000001,62.0,76.0,77.0,80.0,79.0,81.0,82.0,83.0,83.0,83.0
Margin_Entropy,Margin,Entropy,56.00000000000001,66.0,74.0,76.0,78.0,81.0,85.0,85.0,87.0,90.0,89.0
Margin_Entropy,Margin,Entropy,56.00000000000001,64.0,61.0,65.0,70.0,76.0,80.0,85.0,87.0,88.0,89.0
Margin_Entropy,Margin,Entropy,56.00000000000001,62.0,67.0,73.0,71.0,73.0,77.0,80.0,80.0,81.0,81.0
BALD_Entropy,BALD,Entropy,56.00000000000001,66.0,73.0,77.0,78.0,82.0,84.0,84.0,83.0,80.0,84.0
BALD_Entropy,BALD,Entropy,56.00000000000001,57.99999999999999,62.0,73.0,73.0,74.0,77.0,76.0,81.0,80.0,86.0
BALD_Entropy,BALD,Entropy,56.00000000000001,61.0,63.0,64.0,70.0,75.0,77.0,78.0,83.0,86.0,87.0
BALD_Entropy,BALD,Entropy,56.00000000000001,57.99999999999999,63.0,66.0,69.0,73.0,73.0,76.0,72.0,84.0,86.0
BALD_Entropy,BALD,Entropy,56.00000000000001,61.0,67.0,68.0,77.0,78.0,78.0,79.0,79.0,86.0,84.0
VAAL_Entropy,VAAL,Entropy,56.99999999999999,61.0,63.0,64.0,66.0,67.0,74.0,79.0,86.0,86.0,87.0
VAAL_Entropy,VAAL,Entropy,56.99999999999999,71.0,70.0,74.0,81.0,83.0,84.0,84.0,85.0,86.0,87.0
VAAL_Entropy,VAAL,Entropy,56.99999999999999,65.0,63.0,66.0,70.0,74.0,78.0,80.0,80.0,86.0,87.0
VAAL_Entropy,VAAL,Entropy,56.99999999999999,67.0,70.0,71.0,71.0,79.0,80.0,81.0,82.0,83.0,85.0
VAAL_Entropy,VAAL,Entropy,56.99999999999999,57.99999999999999,71.0,72.0,75.0,76.0,81.0,83.0,86.0,86.0,87.0
Coreset_Entropy,Coreset,Entropy,63.0,65.0,71.0,73.0,73.0,74.0,75.0,78.0,78.0,79.0,82.0
Coreset_Entropy,Coreset,Entropy,63.0,69.0,63.0,68.0,70.0,75.0,77.0,75.0,76.0,80.0,79.0
Coreset_Entropy,Coreset,Entropy,63.0,63.0,62.0,63.0,69.0,68.0,73.0,71.0,72.0,75.0,76.0
Coreset_Entropy,Coreset,Entropy,63.0,64.0,69.0,70.0,71.0,71.0,71.0,79.0,79.0,79.0,79.0
Coreset_Entropy,Coreset,Entropy,63.0,69.0,68.0,69.0,69.0,74.0,75.0,74.0,76.0,75.0,81.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,76.0,79.0,81.0,82.0,84.0,85.0,88.0,89.0,88.0,89.0,91.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,76.0,80.0,84.0,85.0,88.0,88.0,88.0,88.0,89.0,90.0,90.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,76.0,77.0,83.0,86.0,87.0,90.0,89.0,91.0,91.0,91.0,92.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,76.0,80.0,83.0,83.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,76.0,76.0,82.0,85.0,85.0,86.0,87.0,89.0,89.0,90.0,90.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,65.0,71.0,75.0,76.0,79.0,78.0,80.0,81.0,83.0,83.0,84.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,65.0,76.0,82.0,82.0,83.0,87.0,86.0,84.0,84.0,87.0,89.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,65.0,65.0,71.0,73.0,73.0,77.0,87.0,85.0,87.0,89.0,91.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,65.0,73.0,75.0,81.0,85.0,85.0,89.0,90.0,90.0,90.0,91.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,65.0,73.0,73.0,74.0,76.0,81.0,82.0,88.0,89.0,89.0,89.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,49.0,53.0,65.0,73.0,75.0,81.0,85.0,86.0,89.0,89.0,90.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,49.0,60.0,74.0,74.0,76.0,78.0,86.0,85.0,87.0,86.0,88.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,49.0,65.0,70.0,70.0,74.0,78.0,85.0,87.0,87.0,87.0,88.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,49.0,62.0,67.0,67.0,73.0,81.0,86.0,85.0,87.0,89.0,89.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,49.0,67.0,70.0,76.0,80.0,81.0,86.0,84.0,89.0,89.0,92.0
Consistency_Margin,Consistency,Margin,70.0,78.0,81.0,79.0,81.0,88.0,89.0,90.0,91.0,92.0,92.0
Consistency_Margin,Consistency,Margin,70.0,78.0,79.0,82.0,81.0,83.0,84.0,83.0,85.0,89.0,91.0
Consistency_Margin,Consistency,Margin,70.0,78.0,77.0,80.0,80.0,82.0,83.0,84.0,85.0,86.0,86.0
Consistency_Margin,Consistency,Margin,70.0,83.0,84.0,87.0,89.0,88.0,88.0,90.0,90.0,90.0,91.0
Consistency_Margin,Consistency,Margin,70.0,82.0,83.0,83.0,83.0,88.0,87.0,89.0,90.0,91.0,92.0
Entropy_Margin,Entropy,Margin,56.00000000000001,62.0,70.0,76.0,79.0,77.0,77.0,77.0,81.0,81.0,83.0
Entropy_Margin,Entropy,Margin,56.00000000000001,72.0,75.0,74.0,77.0,77.0,84.0,87.0,87.0,90.0,90.0
Entropy_Margin,Entropy,Margin,56.00000000000001,72.0,72.0,75.0,78.0,79.0,81.0,87.0,87.0,89.0,89.0
Entropy_Margin,Entropy,Margin,56.00000000000001,71.0,76.0,77.0,78.0,80.0,81.0,81.0,83.0,84.0,83.0
Entropy_Margin,Entropy,Margin,56.00000000000001,71.0,75.0,80.0,83.0,82.0,87.0,88.0,89.0,91.0,90.0
Margin_Margin,Margin,Margin,56.00000000000001,61.0,79.0,82.0,83.0,85.0,87.0,89.0,90.0,90.0,89.0
Margin_Margin,Margin,Margin,56.00000000000001,68.0,82.0,82.0,84.0,85.0,88.0,88.0,88.0,89.0,91.0
Margin_Margin,Margin,Margin,56.00000000000001,63.0,69.0,79.0,82.0,87.0,89.0,88.0,90.0,91.0,92.0
Margin_Margin,Margin,Margin,56.00000000000001,62.0,69.0,75.0,76.0,79.0,86.0,86.0,90.0,91.0,91.0
Margin_Margin,Margin,Margin,56.00000000000001,73.0,74.0,77.0,80.0,83.0,86.0,86.0,89.0,88.0,90.0
BALD_Margin,BALD,Margin,56.00000000000001,66.0,72.0,77.0,79.0,86.0,86.0,86.0,88.0,89.0,90.0
