Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Coreset_Random,Coreset,Random,36.6,56.18,65.16,69.1,70.83,72.93,73.66,75.65,76.76,79.01,77.61
Coreset_Random,Coreset,Random,36.6,46.86,68.55,70.59,72.26,72.0,74.83,76.47,78.11,77.43,77.52
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,63.08,64.13,64.81,73.87,73.78,,,,,,
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,63.08,62.38,64.6,69.77,71.06,,,,,,
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,63.08,61.85,66.94,71.44,70.86,,,,,,
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,63.08,60.63,63.49,70.83,74.19,70.33,75.65,76.41,76.15,77.46,78.87
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,63.08,66.03,64.92,66.53,72.9,74.25,75.15,78.63,78.66,79.48,79.33
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,45.13,56.39,67.87,68.43,67.85,70.24,71.59,76.21,77.46,77.29,79.6
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,45.13,54.9,63.2,60.77,67.26,66.88,74.83,77.2,68.28,78.11,83.05
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,45.13,55.86,60.01,69.48,71.38,,,,,,
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,45.13,48.61,54.17,54.95,58.05,,,,,,
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,45.13,57.94,61.3,59.69,73.14,,,,,,
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.24,31.48,43.03,56.68,64.16,69.13,70.59,69.89,72.49,72.87,74.25
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.24,31.8,46.77,49.05,54.14,57.76,59.22,63.23,67.49,67.67,72.38
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.24,33.06,53.64,57.85,57.5,60.65,68.61,70.24,70.07,74.19,75.45
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.24,35.98,40.95,46.59,45.48,47.71,50.83,60.74,65.36,66.41,
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,18.24,46.95,51.3,47.0,50.98,,,,,,
Consistency_Entropy,Consistency,Entropy,39.61,52.41,58.2,63.58,62.06,64.54,65.19,66.5,68.55,65.45,67.76
Consistency_Entropy,Consistency,Entropy,39.61,51.83,55.77,60.51,62.29,,,,,,
Consistency_Entropy,Consistency,Entropy,39.61,51.01,57.23,60.83,63.08,64.31,63.84,66.09,66.59,67.61,68.23
Consistency_Entropy,Consistency,Entropy,39.61,39.73,56.27,59.11,60.13,,,,,,
Consistency_Entropy,Consistency,Entropy,39.61,48.82,53.43,59.57,62.2,63.11,65.07,66.73,69.19,70.27,68.11
Entropy_Entropy,Entropy,Entropy,31.92,41.39,43.76,51.86,52.35,53.84,60.13,63.26,63.14,64.16,64.66
Entropy_Entropy,Entropy,Entropy,31.92,38.73,46.42,50.07,51.71,55.77,60.86,60.1,61.56,64.78,67.67
Entropy_Entropy,Entropy,Entropy,31.92,39.96,50.16,51.39,56.94,,,,,,
Entropy_Entropy,Entropy,Entropy,31.92,37.5,40.49,49.34,51.53,55.31,55.74,57.67,63.14,65.16,65.19
Entropy_Entropy,Entropy,Entropy,31.92,36.71,49.2,54.43,58.29,,,,,,
Margin_Entropy,Margin,Entropy,28.85,31.1,46.54,55.54,57.21,58.4,62.12,63.64,64.31,65.74,65.92
Margin_Entropy,Margin,Entropy,28.85,31.1,39.75,54.05,55.66,58.35,64.05,62.76,64.4,63.9,66.85
Margin_Entropy,Margin,Entropy,28.85,36.42,54.98,58.58,66.56,68.87,70.1,71.59,71.15,74.45,73.81
Margin_Entropy,Margin,Entropy,28.85,38.67,44.4,56.3,56.33,56.18,60.07,59.34,58.87,57.53,63.14
Margin_Entropy,Margin,Entropy,28.85,40.6,49.28,53.84,61.06,,,,,,
BALD_Entropy,BALD,Entropy,28.12,49.31,52.94,55.95,57.38,,,,,,
BALD_Entropy,BALD,Entropy,28.12,45.45,55.86,70.74,73.78,,,,,,
BALD_Entropy,BALD,Entropy,28.12,46.89,51.53,64.57,67.26,72.43,72.99,76.76,76.62,76.91,76.06
